network,dimensions,rain,areaHa,links,rain24mm,peakMmHr,floodedNodes,floodM3,maxPondedM,maxFloodHours,maxFullFlowRatio,maxFullDepthRatio,maxNodeDepthM,swmmPrecipMm,warnings,runoffContinuityPct,routingContinuityPct
nearest-selected,raw-fields,nungambakkam-observed-shape,0.554,1,293.9,34.1,0,0,0,0,0.06,0.11,0.15,327.9,0,-0.002,-0.003
nearest-selected,production-fixed,nungambakkam-observed-shape,0.554,1,293.9,34.1,0,0,0,0,0.07,0.11,0.15,327.9,0,-0.002,-0.003
nearest-selected,raw-fields,taramani-observed-total-proxy,0.554,1,299.8,34.8,0,0,0,0,0.06,0.11,0.15,334.5,0,-0.002,-0.003
nearest-selected,production-fixed,taramani-observed-total-proxy,0.554,1,299.8,34.8,0,0,0,0,0.07,0.11,0.15,334.5,0,-0.002,-0.003
nearest-selected,raw-fields,chembarambakkam-upper-catchment-stress,0.554,1,474.9,67.5,0,0,0,0,0.12,0.16,0.22,554.1,0,-0.001,0
nearest-selected,production-fixed,chembarambakkam-upper-catchment-stress,0.554,1,474.9,67.5,0,0,0,0,0.14,0.16,0.22,554.1,0,-0.001,0
nearest-selected,raw-fields,nungambakkam-uniform-24h,0.554,1,294,12.25,0,0,0,0,0.02,0.06,0.08,294,0,0,0
nearest-selected,production-fixed,nungambakkam-uniform-24h,0.554,1,294,12.25,0,0,0,0,0.02,0.06,0.08,294,0,0,0
nearest-connected,raw-fields,nungambakkam-observed-shape,1.5,2,293.9,34.1,0,0,0,0,0.28,0.54,0.58,327.9,0,-0.001,-0.003
nearest-connected,drain-size-closed,nungambakkam-observed-shape,1.5,2,293.9,34.1,0,0,0,0,0.34,0.54,0.58,327.9,0,-0.001,-0.003
nearest-connected,raw-fields,taramani-observed-total-proxy,1.5,2,299.8,34.8,0,0,0,0,0.29,0.55,0.58,334.5,0,-0.001,-0.003
nearest-connected,drain-size-closed,taramani-observed-total-proxy,1.5,2,299.8,34.8,0,0,0,0,0.35,0.55,0.58,334.5,0,-0.001,-0.003
nearest-connected,raw-fields,chembarambakkam-upper-catchment-stress,1.5,2,474.9,67.5,0,0,0,0,0.61,0.79,0.8,554.1,0,-0.001,0
nearest-connected,drain-size-closed,chembarambakkam-upper-catchment-stress,1.5,2,474.9,67.5,0,0,0,0,0.74,0.79,0.8,554.1,0,-0.001,0
nearest-connected,raw-fields,nungambakkam-uniform-24h,1.5,2,294,12.25,0,0,0,0,0.1,0.34,0.4,294,0,0,-0.001
nearest-connected,drain-size-closed,nungambakkam-uniform-24h,1.5,2,294,12.25,0,0,0,0,0.12,0.34,0.4,294,0,0,-0.001
nearest-connected,raw-fields,nungambakkam-observed-shape,2.054,2,293.9,34.1,0,0,0,0,0.38,0.62,0.65,327.9,0,-0.001,-0.001
nearest-connected,production-fixed,nungambakkam-observed-shape,2.054,2,293.9,34.1,0,0,0,0,0.46,0.62,0.64,327.9,0,-0.001,-0.001
nearest-connected,raw-fields,taramani-observed-total-proxy,2.054,2,299.8,34.8,0,0,0,0,0.39,0.63,0.66,334.5,0,-0.001,0
nearest-connected,production-fixed,taramani-observed-total-proxy,2.054,2,299.8,34.8,0,0,0,0,0.47,0.62,0.65,334.5,0,-0.001,-0.001
nearest-connected,raw-fields,chembarambakkam-upper-catchment-stress,2.054,2,474.9,67.5,0,0,0,0,0.83,0.91,0.93,554.1,0,-0.001,0
nearest-connected,production-fixed,chembarambakkam-upper-catchment-stress,2.054,2,474.9,67.5,0,0,0,0,1.01,0.91,0.92,554.1,0,-0.001,0
nearest-connected,raw-fields,nungambakkam-uniform-24h,2.054,2,294,12.25,0,0,0,0,0.14,0.39,0.44,294,0,0,-0.001
nearest-connected,production-fixed,nungambakkam-uniform-24h,2.054,2,294,12.25,0,0,0,0,0.17,0.39,0.44,294,0,0,-0.001
velachery-substantial,raw-fields,nungambakkam-observed-shape,0.866,8,293.9,34.1,0,0,0,0,0,0.04,0.44,327.9,0,-0.004,-0.013
velachery-substantial,drain-size-closed,nungambakkam-observed-shape,0.866,8,293.9,34.1,0,0,0,0,0.17,0.59,0.57,327.9,0,-0.004,-0.022
velachery-substantial,raw-fields,taramani-observed-total-proxy,0.866,8,299.8,34.8,0,0,0,0,0,0.04,0.44,334.5,0,-0.004,-0.013
velachery-substantial,drain-size-closed,taramani-observed-total-proxy,0.866,8,299.8,34.8,0,0,0,0,0.17,0.59,0.57,334.5,0,-0.004,-0.021
velachery-substantial,raw-fields,chembarambakkam-upper-catchment-stress,0.866,8,474.9,67.5,0,0,0,0,0,0.04,0.46,554.1,0,-0.004,-0.007
velachery-substantial,drain-size-closed,chembarambakkam-upper-catchment-stress,0.866,8,474.9,67.5,0,0,0,0,0.34,0.64,0.7,554.1,0,-0.004,-0.005
velachery-substantial,raw-fields,nungambakkam-uniform-24h,0.866,8,294,12.25,0,0,0,0,0,0.04,0.44,294,0,-0.001,-0.099
velachery-substantial,drain-size-closed,nungambakkam-uniform-24h,0.866,8,294,12.25,0,0,0,0,0.06,0.47,0.49,294,0,-0.001,-0.02
velachery-substantial,raw-fields,nungambakkam-observed-shape,8.126,8,293.9,34.1,0,0,0,0,0.02,0.06,0.52,327.9,0,-0.001,-0.001
velachery-substantial,production-fixed,nungambakkam-observed-shape,8.126,8,293.9,34.1,1,0,0,0.01,1.18,0.87,1.5,327.9,0,-0.001,-0.002
velachery-substantial,raw-fields,taramani-observed-total-proxy,8.126,8,299.8,34.8,0,0,0,0,0.02,0.06,0.52,334.5,0,-0.001,-0.001
velachery-substantial,production-fixed,taramani-observed-total-proxy,8.126,8,299.8,34.8,1,0,0,0.01,1.21,0.88,1.5,334.5,0,-0.001,-0.002
velachery-substantial,raw-fields,chembarambakkam-upper-catchment-stress,8.126,8,474.9,67.5,0,0,0,0,0.05,0.1,0.6,554.1,0,-0.001,0
velachery-substantial,production-fixed,chembarambakkam-upper-catchment-stress,8.126,8,474.9,67.5,1,628,1.629,5.39,2.27,1,3.13,554.1,0,-0.001,0.01
velachery-substantial,raw-fields,nungambakkam-uniform-24h,8.126,8,294,12.25,0,0,0,0,0.01,0.04,0.47,294,0,0,-0.011
velachery-substantial,production-fixed,nungambakkam-uniform-24h,8.126,8,294,12.25,0,0,0,0,0.43,0.7,0.79,294,0,0,-0.002
